,Best Agent,Best Fitness,Initial P Avg Fitness,P Avg Fitness,P Gain,Max Recorded P Avg Fitness,Max Recorded P Gain
16,"[53, 31, 20, 25, 20, 18, 16, 15, 13, 21, 10, 0]",0.8945103215130971,0.870376941003001,0.885586634235091,0.015209693232089982,0.8925263003998741,0.022149359396873125
17,"[50, 34, 20, 24, 21, 18, 16, 11, 18, 20, 10, 0]",0.894284384547945,0.8710903621372907,0.8866779857522796,0.015587623614988888,0.8927686221075334,0.02167825997024264
18,"[52, 29, 23, 25, 24, 17, 15, 13, 15, 17, 12, 0]",0.8945247629377668,0.8720683601951826,0.8846773465452711,0.012608986350088447,0.8942289804738259,0.022160620278643295
19,"[55, 28, 23, 24, 20, 18, 16, 13, 14, 21, 10, 0]",0.8945805591006525,0.8737336848095322,0.8883600287896087,0.014626343980076562,0.8937012378834287,0.019967553073896527
20,"[51, 31, 21, 23, 25, 17, 16, 12, 16, 20, 10, 0]",0.894407730744647,0.8721493088052735,0.8890384537672753,0.01688914496200178,0.8915500139208048,0.01940070511553127
21,"[52, 30, 23, 24, 22, 18, 15, 13, 15, 19, 11, 0]",0.8945427077983537,0.8739167875401389,0.8903816031361386,0.01646481559599966,0.8934836597190184,0.019566872178879535
22,"[50, 33, 20, 30, 20, 17, 14, 13, 15, 19, 11, 0]",0.894321880764386,0.8727815220407771,0.8883737690712007,0.015592247030423612,0.8936017374983202,0.02082021545754309
23,"[57, 26, 21, 25, 24, 16, 16, 13, 13, 19, 12, 0]",0.8946666638851895,0.8719462067589777,0.8886164837761119,0.016670277017134194,0.8941755558115662,0.022229349052588443
24,"[54, 29, 22, 24, 24, 19, 14, 12, 13, 18, 13, 0]",0.8945653977174962,0.8724081873045338,0.8884574732123106,0.016049285907776767,0.8939786593069222,0.021570472002388374
25,"[55, 28, 21, 25, 23, 18, 14, 13, 14, 19, 12, 0]",0.8946713162751869,0.871464505631858,0.8890773085832997,0.01761280295144174,0.8938411866393168,0.02237668100745882
26,"[48, 73, 26, 29, 4, 16, 10, 8, 9, 19, 0, 0]",0.8946143192903736,0.869956161386144,0.8869647024257209,0.01700854103957694,0.8917340216224448,0.021777860236300794
27,"[54, 62, 28, 31, 19, 19, 11, 5, 9, 1, 3, 0]",0.8957843315418874,0.8734846364681443,0.8684401165116634,-0.0050445199564809196,0.8946191815143096,0.0211345450461653
28,"[54, 29, 21, 25, 22, 18, 16, 13, 12, 21, 11, 0]",0.8946271926644621,0.870914103295236,0.8880083722981138,0.017094269002877804,0.8934456834998227,0.022531580204586676
29,"[56, 28, 22, 23, 22, 17, 14, 17, 13, 19, 11, 0]",0.8945811363161807,0.871864637274375,0.8882105854928806,0.016345948218505546,0.8939906645058419,0.022126027231466838
30,"[55, 27, 21, 25, 26, 16, 15, 11, 13, 22, 11, 0]",0.8945913694031725,0.8712031334174104,0.8888079880613989,0.017604854643988532,0.8936976947853933,0.02249456136798289
31,"[43, 30, 31, 28, 30, 18, 17, 12, 10, 16, 7, 0]",0.8931802580588751,0.8719473650978629,0.8890767293890511,0.017129364291188276,0.8921821722915717,0.020234807193708848
32,"[53, 86, 18, 26, 20, 17, 3, 6, 1, 7, 3, 2]",0.8956059378945972,0.8699077346761844,0.8813337028767309,0.011425968200546421,0.8926559516384043,0.022748216962219847
33,"[57, 27, 19, 24, 22, 22, 14, 13, 12, 21, 11, 0]",0.8945437491968594,0.8709254369563739,0.8855369353120637,0.014611498355689756,0.8934488548435979,0.022523417887224007
34,"[54, 26, 21, 29, 24, 15, 15, 14, 14, 20, 10, 0]",0.8945293268707496,0.8719111357346311,0.8853542468468847,0.013443111112253603,0.8930942701483852,0.02118313441375408
35,"[53, 24, 26, 26, 24, 16, 15, 13, 14, 21, 10, 0]",0.8944386180140702,0.8713430479704529,0.8830904827688473,0.011747434798394352,0.8941345517024508,0.022791503731997897
36,"[54, 27, 20, 28, 23, 18, 14, 13, 14, 19, 12, 0]",0.8945884989508086,0.8710699451320899,0.8899952524049353,0.01892530727284536,0.8931652529955764,0.022095307863486457
37,"[54, 28, 20, 26, 25, 19, 13, 13, 12, 19, 13, 0]",0.8945528491746444,0.8700501732664346,0.8875283273323263,0.017478154065891705,0.8942150845491232,0.024164911282688606
38,"[55, 27, 25, 21, 23, 18, 13, 14, 15, 20, 10, 1]",0.8944270359983553,0.8719534326566755,0.8885485836894743,0.01659515103279885,0.8933566362079206,0.021403203551245142
39,"[46, 56, 40, 25, 15, 26, 11, 5, 8, 8, 2, 0]",0.894164086211557,0.869334741067902,0.8880263735207454,0.018691632452843443,0.8917942964352897,0.02245955536738775
40,"[50, 27, 30, 21, 25, 17, 16, 10, 17, 18, 11, 0]",0.8941739093396044,0.8725226159130854,0.8901674763418331,0.01764486042874769,0.8920121663837287,0.01948955047064327
41,"[54, 32, 18, 25, 23, 18, 16, 12, 13, 20, 11, 0]",0.8945970083875935,0.8719192552183022,0.8888721377516233,0.016952882533321167,0.8936244971091747,0.02170524189087253
42,"[45, 57, 49, 18, 10, 15, 14, 9, 5, 5, 10, 5]",0.893925704434915,0.872169047338169,0.8736848173880408,0.0015157700498718008,0.8930645749991137,0.020895527660944713
43,"[56, 67, 31, 22, 29, 6, 8, 11, 3, 4, 0, 5]",0.8961237386513863,0.870233165739029,0.8857359316908593,0.01550276595183031,0.8951520998340444,0.024918934095015444
